School,Zip Code,Grades,Local District,Board District,complete_address,latitude,longitude
Dan M Isaacs Avalon High School,90744,9-12,S,7-Dr Richard A Vladovic,1425 N Avalon Blvd Wilmington CA 90744,33.7919169,-118.2639406
Gabriella Charter School,90026,K- 8,XR,5-Jackie Goldberg,1435 Logan St Los Angeles CA 90026,34.0801386,-118.2570321
Vermont Avenue Elementary,90007,K- 5,C,1-Dr George J McKenna III,1435 W 27th St Los Angeles CA 90007,34.03083839999999,-118.2928127
118th Street Elementary,90061,K- 5,S,7-Dr Richard A Vladovic,144 E 118th St Los Angeles CA 90061,33.92608269999999,-118.2718936
Ascot Avenue Elementary,90011,K- 5,C,5-Jackie Goldberg,1447 E 45th St Los Angeles CA 90011,34.0034526,-118.24817079999998
Paul Revere Charter Middle School,90049,6- 8,W,4-Nick Melvoin,1450 Allenford Ave Los Angeles CA 90049,34.0550901,-118.4951848
Dyer Street Elementary,91342,K- 5,NE,6-Kelly Gonez,14500 Dyer St Sylmar CA 91342,34.2995527,-118.4472571
Sylmar Leadership Academy,91342,K- 8,NE,6-Kelly Gonez,14550 Bledsoe St Sylmar CA 91342,34.318825700000005,-118.4498654
Olive Vista Middle School,91342,6- 8,NE,6-Kelly Gonez,14600 Tyler St Sylmar CA 91342,34.310942100000005,-118.44921940000002
Cal Burke High School,91402,9-12,NE,6-Kelly Gonez,14630 Lanark St Panorama City CA 91402,34.2176638,-118.4527487
Valley Charter Middle School,91405,6- 8,XR,6-Kelly Gonez,14646 Sherman Way Van Nuys CA 91405,34.200636100000004,-118.4525157
President Avenue Elementary,90710,K- 6,S,7-Dr Richard A Vladovic,1465 W 243rd St Harbor City CA 90710,33.804249600000006,-118.3025177
107th Street Elementary,90003,K- 5,S,7-Dr Richard A Vladovic,147 E 107th St Los Angeles CA 90003,33.940181,-118.272494
New Village Girls Academy,90026,9-12,XR,2-Monica Garcia,147 N Occidental Blvd Los Angeles CA 90026,34.071532399999995,-118.2798414
96th Street Elementary,90002,K- 6,S,7-Dr Richard A Vladovic,1471 E 96th St Los Angeles CA 90002,33.9491962,-118.2483452
Will Rogers Continuation High,91411,9-12,NE,6-Kelly Gonez,14711 Gilmore St Van Nuys CA 91411,34.1879138,-118.4540064
Sherman Oaks Elementary Charter School,91403,K- 5,NE,3-Scott M Schmerelson,14755 Greenleaf St Sherman Oaks CA 91403,34.1498966,-118.455634
Alta California Elementary Gifted/STEAM Magnet,91402,2- 5,NW,6-Kelly Gonez,14859 Rayen St Panorama City CA 91402,34.232785,-118.4569794
San Jose Street Elementary,91345,K- 5,NW,6-Kelly Gonez,14928 Clymer St Mission Hills CA 91345,34.26239279999999,-118.4580257
Osceola Street Elementary,91342,K- 5,NE,6-Kelly Gonez,14940 Osceola St Sylmar CA 91342,34.2903898,-118.4559654
Union Avenue Elementary,90057,K- 5,C,2-Monica Garcia,150 S Burlington Ave Los Angeles CA 90057,34.06247200000001,-118.26729
Robert Hill Lane Elementary,91754,K- 6,E,5-Jackie Goldberg,1500 Avenida Cesar Chavez Monterey Park CA 91754,34.039747,-118.1522387
West Adams Preparatory Senior High,90007,9-12,C,2-Monica Garcia,1500 W Washington Bl Los Angeles CA 90007,34.03976,-118.28954170000002
Murchison Street Elementary,90033,K- 6,E,2-Monica Garcia,1501 Murchison St Los Angeles CA 90033,34.0598573,-118.1959607
Richard Henry Dana Middle School,90731,6- 8,S,7-Dr Richard A Vladovic,1501 S Cabrillo Ave San Pedro CA 90731,33.7306286,-118.295533
Lassen Elementary,91343,K- 5,NW,6-Kelly Gonez,15017 Superior St North Hills CA 91343,34.247396,-118.460162
Valerio Street Elementary,91405,K- 5,NE,6-Kelly Gonez,15035 Valerio St Van Nuys CA 91405,34.2051321,-118.460378
Vista Middle School,91402,6- 8,NE,6-Kelly Gonez,15040 Roscoe Blvd Panorama City CA 91402,34.221081,-118.460294
Harbor City Elementary,90710,K- 5,S,7-Dr Richard A Vladovic,1508 W 254th St Harbor City CA 90710,33.7933935,-118.30317990000002
John Adams Middle School,90007,6- 8,C,2-Monica Garcia,151 W 30th St Los Angeles CA 90007,34.0226018,-118.27047759999998
Micheltorena Street Elementary,90026,K- 5,C,5-Jackie Goldberg,1511 Micheltorena St Los Angeles CA 90026,34.088915500000006,-118.2752737
Boys Academic Leadership Academy,90047,6- 9,W,1-Dr George J McKenna III,1511 W 110th St Los Angeles CA 90047,33.9360275,-118.3027514
Pio Pico Middle School,90019,6- 8,W,1-Dr George J McKenna III,1512 S Arlington Ave Los Angeles CA 90019,34.0450973,-118.3172
Compton Avenue Elementary,90002,K- 5,S,7-Dr Richard A Vladovic,1515 E 104th St Los Angeles CA 90002,33.9426112,-118.2471118
Virgil Middle School,90004,6- 8,C,2-Monica Garcia,152 N Vermont Ave Los Angeles CA 90004,34.0738624,-118.2912387
Hollywood Senior High,90028,9-12,W,4-Nick Melvoin,1521 N Highland Ave Los Angeles CA 90028,34.0991651,-118.3400534
Thomas Riley High School - CYESIS,90002,7-12,S,7-Dr Richard A Vladovic,1524 E 103rd St Los Angeles CA 90002,33.9429764,-118.2471102
Phineas Banning Senior High,90744,9-12,S,7-Dr Richard A Vladovic,1527 Lakme Ave Wilmington CA 90744,33.7944323,-118.2612504
15th Street Elementary,90731,K- 5,S,7-Dr Richard A Vladovic,1527 S Mesa St San Pedro CA 90731,33.729952000000004,-118.287287
Grant Elementary,90028,K- 6,W,5-Jackie Goldberg,1530 N Wilton Pl Los Angeles CA 90028,34.0998217,-118.3132646
Francisco Sepulveda Middle School Gifted Magnet,91343,6- 8,NW,6-Kelly Gonez,15330 Plummer St North Hills CA 91343,34.242394700000006,-118.46576090000002
Ivy Bound Academy of Math Science & Technology,91403,5- 8,XR,3-Scott M Schmerelson,15355 Morrison St Sherman Oaks CA 91403,34.1614237,-118.4686103
Judith F Baca Arts Acad DL Two-Way Im Spanish,90002,K- 6,S,7-Dr Richard A Vladovic,1536 E 89th St Los Angeles CA 90002,33.956103000000006,-118.246351
Duke Ellington Continuation High,90047,9-12,W,1-Dr George J McKenna III,1541 W 110th St Los Angeles CA 90047,33.9357862,-118.3039335
Animo Florence-Firestone Charter Middle,90003,6- 7,XR,7-Dr Richard A Vladovic,155 W 69th St Los Angeles CA 90003,33.9775842,-118.2758219
Alliance Ted K Tajima High,90026,9-11,XR,2-Monica Garcia,1552 W Rockwood St Los Angeles CA 90026,34.063479,-118.261535
Hesby Oaks Leadership Charter,91436,K- 8,NW,4-Nick Melvoin,15530 Hesby St Encino CA 91436,34.1618534,-118.4726643
Elysian Heights Elementary Arts Magnet,90026,K- 5,C,5-Jackie Goldberg,1562 Baxter St Los Angeles CA 90026,34.088886200000005,-118.24941880000002
Nevin Avenue Elementary,90011,K- 5,C,5-Jackie Goldberg,1569 E 32nd St Los Angeles CA 90011,34.0125015,-118.2465864
7th Street Elementary,90732,K- 5,S,7-Dr Richard A Vladovic,1570 W 7th St San Pedro CA 90732,33.7380764,-118.311229
Belmont Senior High,90026,9-12,C,2-Monica Garcia,1575 W 2nd St Los Angeles CA 90026,34.0613347,-118.2629057
Bassett Street Elementary,91406,K- 5,NW,3-Scott M Schmerelson,15756 Bassett St Lake Balboa CA 91406,34.1955034,-118.4767019
Palisades Charter High School,90272,9-12,XR,4-Nick Melvoin,15777 Bowdoin St Pacific Palisades CA 90272,34.0472126,-118.5304488
186th Street Elementary,90248,K- 5,S,7-Dr Richard A Vladovic,1581 W 186th St Gardena CA 90248,33.863714200000004,-118.305562
Cohasset Street Elementary,91406,K- 5,NW,6-Kelly Gonez,15810 Saticoy St Lake Balboa CA 91406,34.207947600000004,-118.4780905
Vintage Elementary Math/Science/Technology Magnet,91343,K- 5,NW,3-Scott M Schmerelson,15848 Stare St North Hills CA 91343,34.2525435,-118.4776299
Haskell Elementary STEAM Magnet,91344,K- 5,NW,3-Scott M Schmerelson,15850 Tulsa St Granada Hills CA 91344,34.2680434,-118.4775003
Albert Einstein Continuation High School,91343,9-12,NW,6-Kelly Gonez,15938 Tupper St North Hills CA 91343,34.2390263,-118.47989540000002
George K Porter Middle School,91344,6- 8,NW,3-Scott M Schmerelson,15960 Kingsbury St Granada Hills CA 91344,34.262316,-118.479919
Middle College High School,90047,9-12,W,1-Dr George J McKenna III,1600 Imperial Hwy Bldg 16 Los Angeles CA 90047,33.9309058,-118.30474270000002
King-Drew Senior High Medicine and Science Magnet,90059,9-12,S,7-Dr Richard A Vladovic,1601 E 120th St Los Angeles CA 90059,33.9241196,-118.2458098
Gledhill Street Elementary Science/Tech/Math Magnet,91343,1- 5,NW,6-Kelly Gonez,16030 Gledhill St North Hills CA 91343,34.241043,-118.4816258
153rd Street Elementary,90247,K- 6,S,7-Dr Richard A Vladovic,1605 W 153rd St Gardena CA 90247,33.893542700000005,-118.3058835
Carson Street Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,161 E Carson St Carson CA 90745,33.831856200000004,-118.27580259999998
Para Los Ninos Charter,90021,K- 5,XR,2-Monica Garcia,1617 E 7th St Los Angeles CA 90021,34.0352598,-118.2370381
Denker Avenue Elementary,90247,K- 5,S,7-Dr Richard A Vladovic,1620 W 162nd St Gardena CA 90247,33.8828945,-118.305514
Magnolia Avenue Elementary,90006,K- 5,C,2-Monica Garcia,1626 S Orchard Ave Los Angeles CA 90006,34.0434932,-118.28797140000002
Lovelia P Flournoy Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,1630 E 111th St Los Angeles CA 90059,33.9342321,-118.245297
Walgrove Avenue Elementary,90066,K- 5,W,4-Nick Melvoin,1630 Walgrove Ave Los Angeles CA 90066,34.006231,-118.451463
Jane Addams Continuation High,91344,9-12,NW,3-Scott M Schmerelson,16341 Donmetz St Granada Hills CA 91344,34.2740202,-118.4881982
San Pedro Street Elementary,90015,K- 5,C,2-Monica Garcia,1635 S San Pedro St Los Angeles CA 90015,34.028208,-118.2570572
Edwin Markham Middle School,90002,6- 8,S,7-Dr Richard A Vladovic,1650 E 104th St Los Angeles CA 90002,33.9411254,-118.2457379
Emerson Community Charter,90024,6- 8,W,4-Nick Melvoin,1650 Selby Ave Los Angeles CA 90024,34.05387460000001,-118.4362071
Valley Charter Elementary School,91343,K- 5,XR,3-Scott M Schmerelson,16514 Nordhoff St North Hills CA 91343,34.234881,-118.49191609999998
Animo Ralph Bunche Charter High,90011,9-12,XR,5-Jackie Goldberg,1655 E 27th St Los Angeles CA 90011,34.01270969999999,-118.2439824
Crescent Heights Boulevard Elementary Lang Arts/Soc Jstc Mag,90035,K- 5,W,1-Dr George J McKenna III,1661 S Crescent Hts Blvd Los Angeles CA 90035,34.047263,-118.373998
Mayall Street Academy of Arts/Technology Magnet,91343,K- 5,NW,3-Scott M Schmerelson,16701 Mayall St North Hills CA 91343,34.2541036,-118.4965015
Marquez Charter,90272,K- 5,W,4-Nick Melvoin,16821 Marquez Ave Pacific Palisades CA 90272,34.0457867,-118.5477428
Parthenia Academy of Arts and Technology,91343,K- 5,NW,3-Scott M Schmerelson,16825 Napa St North Hills CA 91343,34.2272802,-118.4991692
Encino Charter Elementary,91316,K- 5,NW,4-Nick Melvoin,16941 Addison St Encino CA 91316,34.162071600000004,-118.50249440000002
Wilmington Middle School STEAM Magnet,90744,6- 8,S,7-Dr Richard A Vladovic,1700 Gulf Ave Wilmington CA 90744,33.7978661,-118.27401129999998
Barack Obama Global Preparation Academy,90062,6- 8,C,1-Dr George J McKenna III,1700 W 46th St Los Angeles CA 90062,34.0011373,-118.309155
Equitas Academy Charter School,90015,K- 5,XR,2-Monica Garcia,1700 W Pico Blvd Los Angeles CA 90015,34.044837,-118.278444
Gault Street Elementary,91406,K- 5,NW,3-Scott M Schmerelson,17000 Gault St Lake Balboa CA 91406,34.1990696,-118.50416409999998
Birmingham Community Charter High School,91406,9-12,XR,3-Scott M Schmerelson,17000 Haynes St Lake Balboa CA 91406,34.1881585,-118.5042254
Public Policy Charter,90062,5- 6,XR,1-Dr George J McKenna III,1701 Browning Blvd Los Angeles CA 90062,34.0120751,-118.309368
Balboa Elementary Gifted/Highly Gifted/High Ability Magnet,91325,1- 5,NW,3-Scott M Schmerelson,17020 Labrador St Northridge CA 91325,34.2489662,-118.5030091
Valor Academy Elementary School,91325,K- 2,XR,3-Scott M Schmerelson,17081 Devonshire St Northridge CA 91325,34.258472,-118.505732
Logan Academy of Global Ecology,90026,K- 8,C,5-Jackie Goldberg,1711 W Montana St Los Angeles CA 90026,34.0788102,-118.257733
Hightech LA,91406,9-12,XR,3-Scott M Schmerelson,17111 Victory Bl Lake Balboa CA 91406,34.1872124,-118.5061308
William Mulholland Middle School,91406,6- 8,NW,3-Scott M Schmerelson,17120 Vanowen St Lake Balboa CA 91406,34.193552399999994,-118.5053196
Van Gogh Charter,91344,K- 5,NW,3-Scott M Schmerelson,17160 Van Gogh St Granada Hills CA 91344,34.3055309,-118.5058746
Arlington Heights Elementary DL Two-Way Im Spanish,90019,K- K,W,1-Dr George J McKenna III,1717 7th Av Los Angeles CA 90019,34.0411924,-118.325023
Granada Elementary,91344,K- 5,NW,3-Scott M Schmerelson,17170 Tribune St Granada Hills CA 91344,34.266944,-118.507778
Camino Nuevo Elementary School #3,90007,K- 8,XR,2-Monica Garcia,1723 Cordova St Los Angeles CA 90007,34.0392643,-118.2952613
Western Avenue Tech/Eng/Comm/Hum Magnet,90062,K- 6,W,1-Dr George J McKenna III,1724 W 53rd St Los Angeles CA 90062,33.9939307,-118.30724440000002
KIPP Scholar Academy,90062,5- 7,XR,1-Dr George J McKenna III,1729 W Ml King Jr Blvd Los Angeles CA 90062,34.011112,-118.3100053
Nora Sterry Elementary,90025,K- 5,W,4-Nick Melvoin,1730 Corinth Ave Los Angeles CA 90025,34.0438281,-118.44737109999998
Patrick Henry Middle School,91344,6- 8,NW,3-Scott M Schmerelson,17340 San Jose St Granada Hills CA 91344,34.2589715,-118.5120395
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,90027,K- 5,C,5-Jackie Goldberg,1740 N New Hampshire Ave Los Angeles CA 90027,34.1028081,-118.2929954
Lorne Street Elementary,91325,K- 5,NW,6-Kelly Gonez,17440 Lorne St Northridge CA 91325,34.2167126,-118.5131314
Alta Loma Elementary,90019,K- 5,W,1-Dr George J McKenna III,1745 Vineyard Ave Los Angeles CA 90019,34.043014,-118.339686
Eagle Rock High School,90041,7-12,C,5-Jackie Goldberg,1750 Yosemite Dr Los Angeles CA 90041,34.1317787,-118.2063795
Lemay Street Elementary,91406,K- 5,NW,3-Scott M Schmerelson,17520 Vanowen St Lake Balboa CA 91406,34.192639,-118.5150665
Academy for Enriched Sciences Elementary Magnet,91316,K- 5,NW,3-Scott M Schmerelson,17551 Miranda St Encino CA 91316,34.1747816,-118.51499950000002
Birdielee V Bright Elementary,90018,K- 5,W,1-Dr George J McKenna III,1771 W 36th St Los Angeles CA 90018,34.023143700000006,-118.3110952
Emelita Street Elementary,91316,K- 5,NW,3-Scott M Schmerelson,17931 Hatteras St Encino CA 91316,34.1765217,-118.5238054
Cantara Street Elementary Visual/Performing Arts Magnet,91335,3- 5,NW,6-Kelly Gonez,17950 Cantara St Reseda CA 91335,34.218428,-118.525236
Moneta Continuation High,90248,9-12,S,7-Dr Richard A Vladovic,17951 S Budlong Ave Gardena CA 90248,33.8674093,-118.2949541
Northridge Middle Medical Health Careers Magnet,91325,6- 8,NW,3-Scott M Schmerelson,17960 Chase St Northridge CA 91325,34.2237928,-118.5251695
Garden Grove Elementary,91335,K- 5,NW,6-Kelly Gonez,18141 Valerio St Reseda CA 91335,34.205442,-118.528436
Zane Grey Continuation High,91335,9-12,NW,6-Kelly Gonez,18230 Kittridge St Reseda CA 91335,34.1884315,-118.5288733
Taper Avenue Elementary STEAM Magnet,90731,K- 5,S,7-Dr Richard A Vladovic,1824 Taper Ave San Pedro CA 90731,33.76254,-118.298393
Magnolia Science Academy #7,91325,K- 5,XR,3-Scott M Schmerelson,18355 Roscoe Blvd Northridge CA 91325,34.2211656,-118.5335916
Manhattan Place Elementary,90047,K- 5,W,1-Dr George J McKenna III,1850 W 96th St Los Angeles CA 90047,33.9484547,-118.3107152
PUC Excel Academy,90031,6- 8,XR,2-Monica Garcia,1855 N Main St Los Angeles CA 90031,34.066599200000006,-118.219859
Sherman Oaks Center for Enriched Studies (SOCES) Magnet,91335,4-12,NW,3-Scott M Schmerelson,18605 Erwin St Reseda CA 91335,34.1841724,-118.5384563
Gaspar de Portola CM - Academy of Integrated Arts & Tech,91356,6- 8,NW,4-Nick Melvoin,18720 Linnet St Tarzana CA 91356,34.167244200000006,-118.542088
Calahan Street Elementary,91324,K- 5,NW,3-Scott M Schmerelson,18722 Knapp St Northridge CA 91324,34.237967700000006,-118.5417004
Blythe Street Elementary,91335,K- 5,NW,3-Scott M Schmerelson,18730 Blythe St Reseda CA 91335,34.2145059,-118.5417113
John R Wooden High School,91335,9-12,NW,3-Scott M Schmerelson,18741 Elkwood St Reseda CA 91335,34.2130073,-118.5419911
Towne Avenue Elementary,90746,K- 5,S,7-Dr Richard A Vladovic,18924 Towne Ave Carson CA 90746,33.8583275,-118.2674172
Castlebay Lane Charter,91326,K- 5,NW,3-Scott M Schmerelson,19010 Castlebay Ln Porter Ranch CA 91326,34.293679100000006,-118.5475148
Napa Street Elementary,91324,K- 5,NW,3-Scott M Schmerelson,19010 Napa St Northridge CA 91324,34.22552039999999,-118.54751170000002
Vanalden Avenue Elementary,91335,K- 5,NW,3-Scott M Schmerelson,19019 Delano St Reseda CA 91335,34.18272329999999,-118.546977
Diane S Leichman Career Preparatory and Transition Center,91335,9-12,NW,3-Scott M Schmerelson,19034 Gault St Reseda CA 91335,34.198383,-118.548334
Gridley Street Elementary,91340,K- 5,NE,6-Kelly Gonez,1907 8th St San Fernando CA 91340,34.3026261,-118.4290806
Franklin Avenue Elementary,90027,K- 5,C,5-Jackie Goldberg,1910 N Commonwealth Ave Los Angeles CA 90027,34.1059365,-118.2849569
Beckford Charter for Enriched Studies,91326,K- 5,NW,3-Scott M Schmerelson,19130 Tulsa St Northridge CA 91326,34.267732,-118.5488308
New Los Angeles Charter School,90016,6- 8,XR,1-Dr George J McKenna III,1919 S Burnside Ave Los Angeles CA 90016,34.0405831,-118.3580205
Santee Education Complex,90011,9-12,C,2-Monica Garcia,1921 S Maple Ave Los Angeles CA 90011,34.0290276,-118.2628492
Frida Kahlo Continuation High,90011,9-12,C,2-Monica Garcia,1924 S Los Angeles St Los Angeles CA 90011,34.0298149,-118.2637857
Sophia T Salvin Special Education Center,90007,K- 9,C,2-Monica Garcia,1925 Budlong Ave Los Angeles CA 90007,34.0395444,-118.2962414
University Preparatory Value High,90006,9- 9,XR,2-Monica Garcia,1929 W Pico Blvd Los Angeles CA 90006,34.046741100000006,-118.2808919
Leapwood Elementary,90746,K- 5,S,7-Dr Richard A Vladovic,19302 Leapwood Ave Carson CA 90746,33.8561726,-118.2615702
Grape Street Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,1940 E 111th St Los Angeles CA 90059,33.9340901,-118.2379518
Annalee Avenue Elementary,90746,K- 6,S,7-Dr Richard A Vladovic,19410 S Annalee Ave Carson CA 90746,33.8541809,-118.25186200000002
2nd Street Elementary,90033,K- 6,E,2-Monica Garcia,1942 E 2nd St Los Angeles CA 90033,34.0448464,-118.2167062
Broadacres Avenue Elementary,90746,K- 5,S,7-Dr Richard A Vladovic,19424 S Broadacres Ave Carson CA 90746,33.8541865,-118.2395509
Sven Lokrantz Special Education Center,91335,K- 8,NW,3-Scott M Schmerelson,19451 Wyandotte St Reseda CA 91335,34.203708,-118.556953
Shirley Avenue Elementary,91335,K- 5,NW,3-Scott M Schmerelson,19452 Hart St Reseda CA 91335,34.19608300000001,-118.557113
Crestwood Street Elementary,90275,K- 5,S,7-Dr Richard A Vladovic,1946 W Crestwood St Rancho Palos Verdes CA 90275,33.749528000000005,-118.3126454
Chapman Elementary,90249,K- 5,S,7-Dr Richard A Vladovic,1947 Marine Ave Gardena CA 90249,33.8951949,-118.3131812
Florence Griffith Joyner Elem Visual/Perf Arts Magnet,90002,1- 5,S,7-Dr Richard A Vladovic,1963 E 103rd St Los Angeles CA 90002,33.943524,-118.23740359999998
Chime Institute'S Schwarzenegger Community School,91364,K- 8,XR,4-Nick Melvoin,19722 Collier St Woodland Hills CA 91364,34.1655378,-118.562994
Calvert Charter for Enriched Studies,91367,K- 5,NW,4-Nick Melvoin,19850 Delano St Woodland Hills CA 91367,34.181774,-118.565165
Ivy Bound Academy M/S/T Charter Middle School #2,91324,5- 7,XR,3-Scott M Schmerelson,20040 Parthenia St Northridge CA 91324,34.2278972,-118.5702232
Academy of Media Arts,90062,9- 9,XR,1-Dr George J McKenna III,2009 W Martin Luther King Bl Los Angeles CA 90062,34.0112527,-118.3154645
3rd Street Elementary,90004,K- 5,W,1-Dr George J McKenna III,201 S June St Los Angeles CA 90004,34.070545,-118.33500929999998
Norwood Street Elementary,90007,K- 5,C,2-Monica Garcia,2020 Oak St Los Angeles CA 90007,34.0349098,-118.2787451
Alliance Gertz-Ressler Richard Merkin Acad 6-12 Complex,90007,6-12,XR,2-Monica Garcia,2023 Union Av Los Angeles CA 90007,34.036564500000004,-118.2830667
Griffin Avenue Elementary,90031,K- 5,E,2-Monica Garcia,2025 Griffin Ave Los Angeles CA 90031,34.06812710000001,-118.2119542
Alliance Tennenbaum Family Technology High School,90065,9-12,XR,5-Jackie Goldberg,2050 N San Fernando Rd Los Angeles CA 90065,34.102259499999995,-118.23739779999998
Westwood Charter Elementary,90025,K- 5,W,4-Nick Melvoin,2050 Selby Ave Los Angeles CA 90025,34.0473643,-118.429938
24th Street Elementary,90018,K- 4,C,1-Dr George J McKenna III,2055 W 24th St Los Angeles CA 90018,34.035011700000005,-118.3107152
Eagle Rock Elementary,90041,K- 6,C,5-Jackie Goldberg,2057 Fair Park Ave Los Angeles CA 90041,34.136413899999994,-118.2131422
South Shores Elementary Performing Arts Magnet,90732,K- 5,S,7-Dr Richard A Vladovic,2060 W 35th St San Pedro CA 90732,33.7224645,-118.3219489
Sunny Brae Avenue Elementary,91306,K- 5,NW,3-Scott M Schmerelson,20620 Arminta St Winnetka CA 91306,34.21331,-118.582692
KIPP Promesa Preparatory,90063,K- 1,XR,2-Monica Garcia,207 S Dacotah St Los Angeles CA 90063,34.0376077,-118.2017871
Alliance Collins Family College Ready High School,90255,9-12,XR,5-Jackie Goldberg,2071 Saturn Ave Huntington Park CA 90255,33.9775179,-118.2341141
Germain Academy for Academic Achievement,91311,K- 5,NW,3-Scott M Schmerelson,20730 Germain St Chatsworth CA 91311,34.2618776,-118.5846309
Aspire Centennial College Preparatory Academy,90255,6- 7,XR,5-Jackie Goldberg,2079 Saturn Ave Huntington Park CA 90255,33.9774403,-118.2338801
Woodland Hills Academy,91367,6- 8,NW,4-Nick Melvoin,20800 Burbank Blvd Woodland Hills CA 91367,34.170387,-118.586746
156th Street Elementary,90249,K- 6,S,7-Dr Richard A Vladovic,2100 W 156th St Gardena CA 90249,33.88894459999999,-118.3168838
Multnomah Street Elementary Gifted Magnet,90032,2- 5,E,2-Monica Garcia,2101 N Indiana Ave Los Angeles CA 90032,34.0686034,-118.1933102
Hart Street Elementary,91303,K- 5,NW,3-Scott M Schmerelson,21040 Hart St Canoga Park CA 91303,34.19663,-118.591693
William Tell Aggeler Opportunity High School,91311,7-12,NW,3-Scott M Schmerelson,21050 Plummer St Chatsworth CA 91311,34.2424216,-118.5924417
Alliance College Ready Middle Academy #5,90031,6- 8,XR,2-Monica Garcia,211 S Avenue 20 Los Angeles CA 90031,34.0722263,-118.2204073
74th Street Elementary,90047,K- 5,W,1-Dr George J McKenna III,2112 W 74th St Los Angeles CA 90047,33.97249420000001,-118.3159668
Leland Street Elementary,90731,K- 5,S,7-Dr Richard A Vladovic,2120 S Leland St San Pedro CA 90731,33.724661600000005,-118.3008508
Del Amo Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,21228 Water St Carson CA 90745,33.8377089,-118.240205
Dominguez Elementary,90810,K- 5,S,7-Dr Richard A Vladovic,21250 Santa Fe Ave Carson CA 90810,33.835943,-118.2145868
New Academy Canoga Park,91303,K- 5,XR,3-Scott M Schmerelson,21425 Cohasset St Canoga Park CA 91303,34.2070675,-118.5982344
Commonwealth Avenue Elementary Gifted Arts/Tech Magnet,90004,2- 5,C,2-Monica Garcia,215 S Commonwealth Ave Los Angeles CA 90004,34.070664,-118.285935
Clifford Street Math & Technology Magnet,90039,K- 5,C,5-Jackie Goldberg,2150 Duane St Los Angeles CA 90039,34.0893198,-118.2581587
Halldale Elementary,90501,K- 5,S,7-Dr Richard A Vladovic,21514 Halldale Ave Torrance CA 90501,33.8329686,-118.3013075
Andrew Carnegie Middle School,90745,6- 8,S,7-Dr Richard A Vladovic,21820 Bonita St Carson CA 90745,33.83015779999999,-118.258601
Bonita Street Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,21929 Bonita St Carson CA 90745,33.8282352,-118.25988
Cahuenga Elementary,90004,K- 5,C,2-Monica Garcia,220 S Hobart Blvd Los Angeles CA 90004,34.070565,-118.3052203
Chatsworth Park Elementary UP/CD Magnet,91311,K- 5,NW,3-Scott M Schmerelson,22005 Devonshire St Chatsworth CA 91311,34.2578278,-118.6069343
New Heights Charter School,90008,K- 8,XR,1-Dr George J McKenna III,2202 W Ml King Jr Blvd Los Angeles CA 90008,34.010639399999995,-118.3176793
Topanga Elementary Charter School,90290,K- 5,W,4-Nick Melvoin,22075 Topanga School Rd Topanga CA 90290,34.092144899999994,-118.6039338
Central City Value School,90004,9-12,XR,2-Monica Garcia,221 N Westmoreland Ave Los Angeles CA 90004,34.075094,-118.288617
City of Angels Independent Studies,90063,K-12,XS,2-Monica Garcia,221 S Eastman Ave Los Angeles CA 90063,34.0339047,-118.1859983
Allesandro Elementary,90039,K- 5,C,5-Jackie Goldberg,2210 Riverside Dr Los Angeles CA 90039,34.1019317,-118.2518711
William J Johnston Community Day School,90731,7-12,S,7-Dr Richard A Vladovic,2210 Taper Ave San Pedro CA 90731,33.76537630000001,-118.2994046
Stephen M White Middle School,90745,6- 8,S,7-Dr Richard A Vladovic,22102 S Figueroa St Carson CA 90745,33.8262917,-118.2855761
Lomita Elementary Math/Science/Technology Magnet,90717,K- 5,S,7-Dr Richard A Vladovic,2211 247th St Lomita CA 90717,33.8009926,-118.3204304
Glassell Park Elementary STEAM Magnet,90065,K- 5,C,5-Jackie Goldberg,2211 W Avenue 30 Los Angeles CA 90065,34.1045093,-118.2366336
Nevada Avenue Elementary,91304,K- 5,NW,3-Scott M Schmerelson,22120 Chase St West Hills CA 91304,34.2238057,-118.6074703
Woodland Hills Charter Elementary for Enriched Studies,91364,K- 5,NW,4-Nick Melvoin,22201 San Miguel St Woodland Hills CA 91364,34.1590551,-118.6103884
Mark Twain Middle School,90066,6- 8,W,4-Nick Melvoin,2224 Walgrove Ave Los Angeles CA 90066,33.9998229,-118.4480037
Dorris Place Elementary,90031,K- 6,C,5-Jackie Goldberg,2225 Dorris Pl Los Angeles CA 90031,34.09127,-118.238638
Christopher Columbus Middle School,91304,6- 8,NW,3-Scott M Schmerelson,22250 Elkwood St Canoga Park CA 91304,34.211755,-118.6111062
Extera Public School,90033,K- 5,XR,2-Monica Garcia,2226 E 3rd St Los Angeles CA 90033,34.04262,-118.213019
Carson Senior High - Academy of Education and Empowerment,90745,9-12,S,7-Dr Richard A Vladovic,22328 S Main St Carson CA 90745,33.82380429999999,-118.2755152
Caroldale Learning Community,90745,K- 8,S,7-Dr Richard A Vladovic,22424 Caroldale Ave Carson CA 90745,33.8225625,-118.28349540000002
Charles H Kim Elementary School,90004,K- 5,C,2-Monica Garcia,225 S Oxford Ave Los Angeles CA 90004,34.070268299999995,-118.3082636
